neighbourhood,room_type,price,minimum_nights,availability_365,accommodates,District,rental_type,license_disclosed
Little Portugal,Entire home/apt,75,90,0,3,Toronto,Long-term rental,Yes
Danforth,Private room,250,28,363,2,Toronto,Short-term rental,No
Flemingdon Park,Private room,60,28,251,2,North York,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,243,28,0,4,Toronto,Short-term rental,Yes
Church Yonge Corridor,Entire home/apt,475,28,0,2,Toronto,Short-term rental,No
Bay Street Corridor,Entire home/apt,160,28,365,3,Toronto,Short-term rental,No
Niagara,Entire home/apt,120,30,0,2,Toronto,Long-term rental,No
Church Yonge Corridor,Private room,73,28,3,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,125,180,364,2,Toronto,Long-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,79,28,0,3,Toronto,Short-term rental,No
Bendale,Entire home/apt,84,28,0,2,Scarborough,Short-term rental,No
Moss Park,Entire home/apt,165,2,76,3,Toronto,Short-term rental,Yes
Clanton Park,Entire home/apt,90,28,67,4,North York,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,145,28,0,2,Toronto,Short-term rental,No
North St James Town,Entire home/apt,88,180,364,4,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,199,365,364,5,Toronto,Long-term rental,No
North Riverdale,Entire home/apt,300,28,0,5,Toronto,Short-term rental,No
